Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1,Guardians of the Galaxy,James Gunn,2014,121,8.1,757074,333.13,76
2,Prometheus,Ridley Scott,2012,124,7,485820,126.46,65
3,Split,M. Night Shyamalan,2016,117,7.3,157606,138.12,62
4,Sing,Christophe Lourdelet,2016,108,7.2,60545,270.32,59
5,Suicide Squad,David Ayer,2016,123,6.2,393727,325.02,40
6,The Great Wall,Yimou Zhang,2016,103,6.1,56036,45.13,42
7,La La Land,Damien Chazelle,2016,128,8.3,258682,151.06,93
8,Mindhorn,Sean Foley,2016,89,6.4,2490,,71
9,The Lost City of Z,James Gray,2016,141,7.1,7188,8.01,78
10,Passengers,Morten Tyldum,2016,116,7,192177,100.01,41
11,Fantastic Beasts and Where to Find Them,David Yates,2016,133,7.5,232072,234.02,66
12,Hidden Figures,Theodore Melfi,2016,127,7.8,93103,169.27,74
13,Rogue One,Gareth Edwards,2016,133,7.9,323118,532.17,65
14,Moana,Ron Clements,2016,107,7.7,118151,248.75,81
15,Colossal,Nacho Vigalondo,2016,109,6.4,8612,2.87,70
16,The Secret Life of Pets,Chris Renaud,2016,87,6.6,120259,368.31,61
17,Hacksaw Ridge,Mel Gibson,2016,139,8.2,211760,67.12,71
18,Jason Bourne,Paul Greengrass,2016,123,6.7,150823,162.16,58
19,Lion,Garth Davis,2016,118,8.1,102061,51.69,69
20,Arrival,Denis Villeneuve,2016,116,8,340798,100.5,81
21,Gold,Stephen Gaghan,2016,120,6.7,19053,7.22,49
22,Manchester by the Sea,Kenneth Lonergan,2016,137,7.9,134213,47.7,96
23,Hounds of Love,Ben Young,2016,108,6.7,1115,,72
24,Trolls,Walt Dohrn,2016,92,6.5,38552,153.69,56
25,Independence Day: Resurgence,Roland Emmerich,2016,120,5.3,127553,103.14,32
26,Paris pieds nus,Dominique Abel,2016,83,6.8,222,,
27,Bahubali: The Beginning,S.S. Rajamouli,2015,159,8.3,76193,6.5,
28,Dead Awake,Phillip Guzman,2016,99,4.7,523,0.01,
29,Bad Moms,Jon Lucas,2016,100,6.2,66540,113.08,60
30,Assassin's Creed,Justin Kurzel,2016,115,5.9,112813,54.65,36
