name    price   category
Apple	0.99	0
Milk	2.50	1
Chicken Breast	5.99	2
Whole Wheat Bread	2.99	3
Frozen Peas	1.79	4
Orange Juice	3.49	5
Potato Chips	1.99	6
Canned Beans	1.29	7
Spaghetti	1.89	8
Tomato Ketchup	2.49	9
Energy Drink	2.99	5
Butter	3.59	1
Beef Steak	12.99	2
Banana	0.69	0
Bagels	3.49	3
Frozen Pizza	4.99	4
Green Tea	2.99	5
Chocolate Bar	1.49	6
Canned Tuna	2.59	7
Rice	2.79	8
Hot Sauce	1.99	9
Granola Bar	1.29	6
Frozen Berries	3.99	4
Almond Milk	2.99	1
BBQ Sauce	3.29	9
Peanut Butter	2.79	8
